site,species,genotype,replicate,sampleID,tank,pH,temp,treatment,time,file,AOI,FvFm,ratio
Rainbow,Ssid,4,4,Rs4-4,2,low pH,high temp,LH,0,LH_Ssid_RAIN,3,0.362,0.695
Rainbow,Ssid,5,4,Rs5-4,2,low pH,high temp,LH,0,LH_Ssid_RAIN,4,0.391,0.724
Star,Ssid,1,4,Ss1-4,2,low pH,high temp,LH,0,LH_Ssid_MACN,1,0.363,0.706
Star,Ssid,2,4,Ss2-4,2,low pH,high temp,LH,0,LH_Ssid_MACN,2,0.358,0.687
Star,Ssid,3,4,Ss3-4,2,low pH,high temp,LH,0,LH_Ssid_STAR,3,0.324,0.669
Star,Ssid,4,4,Ss4-4,2,low pH,high temp,LH,0,LH_Ssid_STAR,4,0.342,0.701
Star,Ssid,5,4,Ss5-4,2,low pH,high temp,LH,0,LH_Ssid_STAR,5,0.441,0.790
Emerald,Ssid,1,1,Es1-1,3,control pH,control temp,CC,0,CC_Ssid_EMRL,1,0.401,0.872
Emerald,Ssid,2,1,Es2-1,3,control pH,control temp,CC,0,CC_Ssid_EMRL,2,0.379,0.822
Emerald,Ssid,3,1,Es3-1,3,control pH,control temp,CC,0,CC_Ssid_EMRL,3,0.472,0.866
Emerald,Ssid,4,1,Es4-1,3,control pH,control temp,CC,0,CC_Ssid_EMRL,4,0.412,0.849
Emerald,Ssid,5,1,Es5-1,3,control pH,control temp,CC,0,CC_Ssid_EMRL,5,0.457,0.815
MacN,Ssid,1,1,Ms1-1,3,control pH,control temp,CC,0,CC_Ssid_MACN,1,0.431,0.850
MacN,Ssid,2,1,Ms2-1,3,control pH,control temp,CC,0,CC_Ssid_MACN,2,0.409,0.880
MacN,Ssid,3,1,Ms3-1,3,control pH,control temp,CC,0,(dead),,,
MacN,Ssid,4,1,Ms4-1,3,control pH,control temp,CC,0,CC_Ssid_MACN,3,0.273,0.663
MacN,Ssid,5,1,Ms5-1,3,control pH,control temp,CC,0,CC_Ssid_MACN,4,0.46,0.909
Rainbow,Ssid,1,1,Rs1-1,3,control pH,control temp,CC,0,CC_Ssid_RAIN,4,0.413,0.855
Rainbow,Ssid,2,1,Rs2-1,3,control pH,control temp,CC,0,CC_Ssid_RAIN,1,0.427,0.818
Rainbow,Ssid,3,1,Rs3-1,3,control pH,control temp,CC,0,CC_Ssid_RAIN-3-1,1,0.301,0.904
Rainbow,Ssid,4,1,Rs4-1,3,control pH,control temp,CC,0,CC_Ssid_RAIN,3,0.392,0.752
Rainbow,Ssid,5,1,Rs5-1,3,control pH,control temp,CC,0,CC_Ssid_RAIN,2,0.38,0.702
Star,Ssid,1,1,Ss1-1,3,control pH,control temp,CC,0,CC_Ssid_STAR,1,0.369,0.744
Star,Ssid,2,1,Ss2-1,3,control pH,control temp,CC,0,CC_Ssid_STAR,2,0.41,0.777
Star,Ssid,3,1,Ss3-1,3,control pH,control temp,CC,0,CC_Ssid_STAR,3,0.401,0.825
Star,Ssid,4,1,Ss4-1,3,control pH,control temp,CC,0,CC_Ssid_STAR,4,0.335,0.722
Star,Ssid,5,1,Ss5-1,3,control pH,control temp,CC,0,CC_Ssid_STAR,5,0.472,0.847
Emerald,Ofav,1,3,Eo1-3,4,low pH,control temp,LC,0,LC_Ofav_EMRL,1,0.371,0.635
Emerald,Ofav,2,3,Eo2-3,4,low pH,control temp,LC,0,LC_Ofav_EMRL,2,0.402,0.702
Emerald,Ofav,3,3,Eo3-3,4,low pH,control temp,LC,0,LC_Ofav_EMRL,3,0.351,0.605
Emerald,Ofav,4,3,Eo4-3,4,low pH,control temp,LC,0,LC_Ofav_EMRL,4,0.301,0.526
Emerald,Ofav,5,3,Eo5-3,4,low pH,control temp,LC,0,LC_Ofav_EMRL,5,0.343,0.586
